ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
589,6,89.466667,1,32,81,1141.061905,0.001605,0.00481,27.899775,0,2,0,10,1,12,2,1,0
957,0,0,0,0,6,306.25,0.053571,0.052593,0,0,8,5,10,0,14,2,0,0
2277,0,0,0,0,41,419,0.013008,0.034959,0,0,1,1,10,0,12,2,0,0
6611,0,0,0,0,3,60,0,0.066667,0,0,2,1,10,3,4,2,1,0
776,0,0,2,76.6,377,11729.40804,0.032877,0.045246,0,0,4,5,10,0,12,2,0,0
8783,7,156.716667,0,0,52,2335.064286,0.007143,0.010564,0,0,1,5,10,0,4,2,0,0
8971,2,32.2,0,0,11,222.5,0,0.015385,0,0,5,1,10,0,7,2,1,1
5549,0,0,0,0,22,2464.9,0.00303,0.051515,0,0.8,2,1,10,1,8,2,0,0
2321,7,77.5,0,0,14,192.933333,0,0.013333,0,0,1,1,10,0,8,2,0,0
8898,10,89.98,0,0,96,1304.973333,0.003922,0.00831,6.175932,0,7,1,10,0,12,2,0,0
1784,0,0,0,0,3,181,0.066667,0.1,0,0,9,1,10,6,4,2,0,0
370,0,0,0,0,17,349.375,0.0125,0.01875,0,0,8,5,10,4,18,2,0,0
8116,0,0,0,0,1,0,0.2,0.2,0,0,2,1,10,5,14,2,0,0
7187,0,0,0,0,5,151.2,0,0.053333,0,0.8,2,6,3,6,8,2,0,0
4484,0,0,0,0,6,226,0,0.04,0,0,1,1,10,0,4,2,0,0
568,0,0,0,0,36,1083.75163,0.006667,0.011684,0,0,3,3,3,6,4,2,0,0
5525,9,71.2,2,72.125,23,1061.816667,0,0.022917,6.064426,0,8,1,10,4,4,2,1,0
2441,0,0,0,0,1,0,0.2,0.2,0,0,1,1,7,0,12,2,0,0
5263,10,198.243056,3,276.25,151,4344.919986,0.002532,0.011966,0,0,9,0,10,2,4,2,0,0
1139,0,0,2,7,11,192.75,0,0.034615,0,0.6,2,1,10,0,12,2,0,0
4185,1,113,0,0,13,935,0,0.027273,0,0.6,2,3,3,0,4,1,0,0
6353,2,84,0,0,30,597.633053,0.006667,0.005926,0,0,8,3,11,0,15,2,1,0
7067,4,68.5,0,0,152,5426.823764,0.005229,0.018757,0,0,8,1,10,2,5,2,0,0
7168,12,393.266667,0,0,15,366.583333,0.009524,0.01381,0,0,9,1,1,1,8,1,0,0
8029,0,0,0,0,4,39.2,0,0.05,0,0,8,3,10,0,4,1,0,0
1987,0,0,0,0,1,0,0.2,0.2,0,0,8,1,1,6,12,2,0,0
5506,0,0,0,0,17,1059.575,0,0.011765,62.762948,0,8,1,10,0,4,1,0,1
8240,1,14,0,0,21,334.785714,0,0.023333,0,0,1,1,10,0,8,2,0,0
3235,2,48,0,0,3,66.5,0.05,0.1,0,0,2,5,10,0,12,2,0,0
4803,2,10,1,69,62,1279.333333,0.000645,0.016052,0,0.8,2,1,7,0,12,2,0,0
7867,0,0,0,0,18,541.916667,0,0.015686,0,0,8,5,10,0,4,1,1,0
7358,0,0,0,0,2,21,0,0.1,0,0,2,5,10,0,12,1,0,0
5048,0,0,0,0,64,4492.311111,0.004762,0.022706,0,0,8,1,10,6,4,2,0,1
5071,0,0,0,0,2,30.4,0,0.066667,21.478995,0,7,3,11,1,18,2,1,1
4868,9,181.275,2,65,120,3283.715359,0.004651,0.024543,2.442153,0,8,3,10,0,4,2,0,0
1113,1,21.2,0,0,0,0,0.05,0.1,0,0,7,3,3,0,3,2,0,0
98,1,22,0,0,2,5,0,0.066667,0,0,2,1,10,6,7,2,0,0
6836,0,0,0,0,7,232.666667,0,0.014286,0,0,1,1,10,1,4,2,0,0
6060,2,28.2,0,0,16,312.2,0.033333,0.048148,0,0,7,1,10,0,8,2,0,0
1854,3,65.928571,0,0,17,557.686905,0,0.009804,25.277605,0,9,1,10,5,4,2,0,1
3383,9,122.2,0,0,51,2303.96,0.019497,0.036855,0,0,5,1,1,2,4,2,0,0
148,3,72.6,0,0,17,544.1,0,0.002,0,0,6,1,10,4,4,1,0,0
7669,0,0,0,0,50,2617.233333,0,0.001361,53.228816,0,2,0,3,6,4,1,1,1
4796,3,102.8,0,0,25,1109.233333,0,0.001667,61.304866,0,5,1,10,1,3,1,0,1
8951,0,0,0,0,7,104.333333,0.085714,0.092857,0,0.8,2,5,10,1,14,2,0,0
2970,1,9.5,0,0,17,314,0,0.024444,0,0,2,3,3,0,12,2,0,0
7446,0,0,0,0,2,29,0,0.05,0,0,8,3,3,6,12,2,0,0
8368,0,0,0,0,16,157.9,0.05,0.0625,0,0,2,1,10,0,12,2,0,0
8277,6,65,2,243,19,681.619048,0,0.011795,28.295385,1,2,1,10,0,4,2,1,1
6546,2,109,5,125,1,34,0,0.009524,0,0,2,5,10,0,7,2,0,0
7844,0,0,0,0,4,59.2,0,0.05,0,0,5,1,1,4,7,2,0,0
83,4,103,0,0,31,831.666667,0.030303,0.042121,0,0,2,5,10,1,14,2,0,0
2632,1,43,0,0,37,1505.166667,0,0.005263,0,0,1,1,10,2,11,1,0,0
7413,0,0,0,0,7,101,0.028571,0.057143,0,0,1,1,7,0,12,2,0,0
4962,0,0,0,0,5,136.666667,0.02,0.12,0,0,1,5,10,0,5,2,1,0
4604,4,28.733333,0,0,12,243.75,0,0.038571,8.150811,0,3,5,10,2,4,2,1,1
7326,0,0,0,0,8,607,0.0375,0.0625,0,0,1,3,3,0,12,2,0,0
4074,2,390,0,0,10,1169.1,0.02,0.05,0,0,1,5,0,4,4,2,0,0
1951,8,245.166667,2,114.5,129,3098.912088,0,0.001704,9.073053,0,2,1,1,0,7,2,1,0
1721,0,0,0,0,7,1544.75,0.014286,0.033333,0,0,9,3,3,6,8,2,0,0
5971,0,0,0,0,2,12,0.166667,0.166667,0,0,8,3,3,0,5,2,0,0
441,1,16.2,1,8.1,17,1180.366667,0.010526,0.052632,0,0,5,1,10,6,7,2,0,0
4696,1,492.166667,0,0,63,4518.297619,0.012698,0.039762,8.137274,0,8,1,10,5,8,2,0,1
2580,6,647.333333,6,191.583333,175,10886.87692,0.005111,0.018244,16.640994,0,8,1,10,0,4,2,0,1
8894,0,0,0,0,9,76,0,0.02963,0,0,2,1,1,6,12,2,0,0
6801,0,0,0,0,3,395,0,0.066667,0,0,0,3,3,6,12,2,0,0
231,0,0,0,0,4,121.5,0,0.05,0,0,8,3,3,2,11,2,0,0
4,1,7,0,0,50,2330.727381,-1,0.031399,0,0,8,5,10,6,12,2,0,0
4847,0,0,0,0,2,17,0.1,0.15,0,0.6,2,3,3,8,4,2,0,0
3702,0,0,0,0,7,50.5,0.057143,0.1,0,0,2,5,10,0,12,2,1,0
1402,1,5,0,0,92,1688.058761,0.004348,0.016494,0,0,2,1,10,0,2,2,1,0
5602,0,0,0,0,9,339.5,0,0.013889,0,0,9,3,10,6,4,1,1,0
886,7,138.15,0,0,9,232.31,0,0.028718,0,0,7,1,10,8,4,2,1,0
6423,0,0,0,0,19,392,0.021053,0.052632,0,0,1,1,10,8,8,2,1,0
2858,7,778.4,0,0,17,827.533333,0,0.018182,0,0,6,3,10,1,4,2,0,0
7740,0,0,0,0,16,1500.033333,0.00625,0.014678,0,0,8,5,10,2,2,2,0,0
5211,0,0,2,31,3,47,0.04,0.08,0,0,1,3,3,1,8,2,1,0
4637,3,97.5,0,0,5,155.333333,0,0.028571,0,0,9,5,10,0,4,1,0,0
7259,0,0,2,15,15,328.416667,0,0.037647,0,0,2,1,10,0,7,2,1,0
6704,0,0,0,0,2,47.4,0,0.066667,26.852102,0,7,5,10,3,7,2,0,1
741,0,0,0,0,1,0,0.2,0.2,0,0,7,1,10,1,4,2,0,0
5014,3,470,0,0,21,2046.5,0.016,0.032,21.5952,0,2,1,8,0,12,2,0,0
8615,0,0,0,0,4,54,0,0.066667,0,0,9,3,3,5,4,2,1,0
5400,5,879.5,0,0,43,2365.429545,0,0.013043,0,0,8,0,3,0,5,2,0,0
7273,12,521.075,0,0,83,5124.691667,0,0.011197,35.254201,0,9,1,10,3,2,2,0,0
5259,4,60.2,0,0,13,409.837121,0,0.005882,20.101267,0,7,3,3,2,4,1,0,1
7231,6,279,2,69.5,41,1430.25,0,0.009929,3.83608,0,9,1,10,5,13,2,0,1
8315,0,0,0,0,4,52,0,0.025,0,0,1,1,10,0,4,2,0,0
5285,4,66,0,0,52,1423.790476,0.005455,0.008485,0,0,9,1,1,3,18,2,0,0
7110,0,0,1,21,25,525.166667,0.007692,0.030769,0,0,8,1,10,6,4,1,1,0
7291,8,176.25,1,141,20,651.765897,0,0.009231,19.132859,0,8,1,10,2,4,2,0,1
5509,2,157.25,0,0,29,2999.716667,0,0.005952,0,0,9,5,10,5,2,2,0,0
5858,2,9,0,0,23,1516.2,0.016,0.028,17.727223,0,3,1,10,8,4,2,0,1
4463,0,0,0,0,27,780.166667,0,0.022222,0,0,1,1,1,6,4,2,0,0
1791,0,0,0,0,50,1784.516667,0.0016,0.020594,0,0,8,3,3,2,4,2,0,0
1688,9,223,1,93,76,2893.940476,0.00241,0.014859,1.935491,0,8,3,10,6,11,2,0,0
6701,7,257.4,0,0,7,244.733333,0.018182,0.018182,0,0,8,3,3,2,4,1,0,0
5012,0,0,1,0,22,812.3,0.030849,0.057391,0,0,8,3,3,2,5,2,1,0
8508,0,0,0,0,6,77,0,0.016667,0,0.6,2,1,10,5,7,2,0,0
5572,2,54,0,0,11,220.966667,0.020513,0.029487,0,0,2,3,3,2,2,2,0,0
5643,0,0,0,0,50,2147.983333,0.012286,0.024768,0,0,8,5,10,0,4,2,1,0
2814,1,11.5,0,0,10,234.475,0,0.011111,0,0,1,3,3,0,4,2,1,0
3350,7,186.666667,7,790.006667,57,1720.444748,0.00098,0.007866,3.801048,0,6,5,10,1,4,2,1,0
8979,0,0,1,1,93,4324.737073,0.021113,0.034077,0,1,2,5,10,0,3,2,1,0
3115,0,0,0,0,17,504.083333,0.023529,0.035294,36.079069,0,7,3,3,4,12,2,0,1
3809,0,0,0,0,9,228.5,0.022222,0.044444,0,0.2,2,5,10,6,12,2,0,0
5600,0,0,0,0,33,735.439286,0,0.002694,0,0,8,0,10,2,4,2,0,0
3523,3,284.2,0,0,22,2366.6,0.036,0.064,0,0,7,3,3,7,8,2,1,0
1805,2,16,0,0,29,1412.5,0.007143,0.046429,0,0,2,1,10,1,14,2,0,0
2620,0,0,0,0,3,96,0,0.066667,0,0,2,3,11,1,15,2,1,0
3642,4,37,0,0,9,224.25,0,0.015385,0,0,8,1,10,6,4,1,0,0
4328,7,145,0,0,7,96,0,0.013333,0,0,2,1,10,0,7,1,0,0
3011,5,131.995614,0,0,35,1712.833333,0,0.000263,0,0.4,2,1,10,6,12,1,0,0
1372,0,0,0,0,45,2650.416667,0.013333,0.034074,0,0,9,5,6,5,8,2,1,0
8440,0,0,0,0,13,96.5,0.030769,0.076923,0,0,1,1,8,2,8,2,0,0
4662,1,0,0,0,9,300.333333,0.041667,0.06875,0,0,9,5,10,4,8,2,0,0
1055,0,0,0,0,11,219.5,0.018182,0.046061,0,0.6,2,3,3,6,12,2,0,0
7483,12,150.133333,0,0,17,231,0.016,0.039333,0,0,6,5,10,6,12,2,0,0
7821,2,95.5,0,0,13,334.5,0,0.002667,0,0,1,5,10,0,11,1,0,0
3877,6,62.75,0,0,46,1098.524802,0.007083,0.01653,0,0,8,3,3,2,11,2,0,0
1109,0,0,0,0,7,271.5,0,0.028571,0,0,8,4,10,6,4,2,0,0
6277,1,13,1,53,16,388.744444,0,0.006667,0,0,2,3,3,0,8,2,0,0
4224,4,175.866667,0,0,2,5,0,0.04,0,0,7,3,3,6,4,1,0,0
8467,1,0,2,6.5,63,5826.333333,0.000794,0.02672,0,0,8,5,10,0,12,2,1,0
8821,1,15.2,1,13,39,1706.119697,0.010366,0.030372,5.251289,0,3,1,10,5,4,2,1,0
7838,8,447.125,3,168.375,142,4777.812554,0.005666,0.019708,0,0,8,5,10,0,8,2,1,0
501,2,136.5,0,0,8,1261.5,0,0.01,0,0,9,4,3,6,4,2,1,0
5939,0,0,0,0,9,869,0,0.022222,0,0,2,1,7,0,7,2,0,0
4642,0,0,0,0,15,751.8,0.026667,0.04,0,0,1,3,10,5,8,2,0,0
5033,0,0,0,0,11,1760,0.036364,0.072727,0,0.6,2,3,3,0,12,2,0,0
8930,0,0,0,0,23,501.666667,0.008696,0.018841,0,0.6,0,3,3,2,4,2,0,0
6693,6,110.625,1,106,30,1508.521825,0.04,0.043295,21.01747,0,8,5,10,6,14,2,0,0
6519,5,134.928571,2,41,31,2013.595238,0,0.014141,8.482727,0,1,1,10,7,4,2,0,1
6235,0,0,0,0,6,1098.5,0.066667,0.1,0,0,9,1,10,3,8,2,0,0
8188,1,77,0,0,22,710.666667,0,0.002174,0,0,2,1,1,6,7,2,0,0
3766,1,25.75,5,452.083333,34,953.589286,0,0.011071,8.838027,0,9,1,10,6,4,2,0,0
7713,3,143.625,0,0,63,2801.131746,0.00303,0.012987,9.078682,0,8,5,10,0,4,2,0,1
4452,1,109,0,0,9,466.666667,0,0.0125,0,0,2,1,1,0,7,1,1,0
2660,1,88,0,0,22,516.833333,0,0.016667,0,0,9,3,3,6,11,2,0,0
7718,10,513.553571,9,186,105,8704.372405,0.026261,0.050213,2.579065,0,2,5,10,5,15,2,1,0
242,3,58.066667,0,0,5,86,0,0.0125,0,0,1,5,10,5,12,1,0,0
8572,1,0,0,0,16,1296.6,0.022222,0.033333,13.283556,0,1,5,10,2,4,2,0,1
2983,3,101,0,0,7,441,0.02,0.04,0,0,2,1,7,2,7,2,0,0
388,8,121.425,3,273.5,100,2565.797222,0.001869,0.012072,0,0,8,1,10,3,14,2,1,0
2464,3,55.333333,0,0,4,420,0.0125,0.0625,0,0,5,3,3,2,12,2,0,1
7677,12,152.75,6,1024.25,127,3247.644636,0.008845,0.017026,33.853391,0,8,5,3,0,4,2,1,1
7196,0,0,0,0,9,87.916667,0,0.003175,0,0,8,4,10,8,8,2,1,0
5168,5,107,2,15,250,8622.38,0.00567,0.0225,0,0,8,5,10,0,8,2,0,1
1307,4,206.6,0,0,6,282.8,0.025,0.025,0,0,6,5,10,6,3,2,0,0
4761,4,441.1,0,0,20,249.821429,0,0.0388,0,0,9,3,3,0,4,2,0,0
5946,2,229.5,2,29.75,8,212.75,0,0.025,0,0,9,5,10,6,4,1,0,0
3543,2,44,0,0,8,182,0,0.005,0,0,2,1,1,0,4,1,0,0
6993,18,255.716667,0,0,184,7706.546429,0.002083,0.013793,6.738395,0,2,1,10,4,2,2,0,0
7685,0,0,0,0,5,404.5,0,0.05,0,0,8,1,10,0,14,2,0,0
5091,1,26,0,0,11,345.166667,0.022222,0.008889,0,0,2,3,3,2,12,2,0,0
8733,8,889.166667,0,0,137,5588.185426,0.000729,0.02632,6.898232,0,8,1,10,0,12,2,0,1
757,0,0,0,0,9,246.5,0.125926,0.138889,0,0,8,3,3,6,8,2,0,0
1203,3,48.35,2,358.6,35,676.266667,0.005128,0.013675,0,0,7,1,10,5,4,1,0,0
5052,12,672.095238,2,86,23,237.095238,0,0.010345,0,0,2,3,3,5,2,2,0,0
8488,2,68.545455,3,60,91,2345.58914,0.002749,0.012842,51.272586,0,9,1,7,3,4,2,0,0
1594,4,92.25,1,0,47,1506.220833,0,0.025596,8.011553,0.4,2,1,10,0,4,2,0,1
42,1,34,2,9,3,149,0,0.05,0,0,1,1,10,0,8,2,0,0
3991,2,57,0,0,12,497,0,0.047619,10.625143,0.6,2,1,10,0,2,2,0,0
7245,0,0,0,0,34,910.233333,0,0.023529,0,0,9,1,10,0,4,2,0,0
5117,0,0,0,0,2,0,0.2,0.2,0,0.8,2,5,10,5,14,2,0,0
4088,7,82.766667,1,47,391,15025.23302,0.001515,0.010141,1.271407,0,8,1,10,0,8,2,0,0
6802,0,0,0,0,1,0,0,0.1,0,0,2,1,10,6,16,2,1,0
1584,5,181.866667,0,0,192,4845.989214,0.005412,0.022099,18.675649,0,8,1,10,0,8,2,0,0
8692,0,0,0,0,7,49.866667,0.085714,0.092857,0,0,6,3,3,4,12,2,0,0
1001,0,0,0,0,7,330.166667,0,0.021429,0,0,9,5,10,4,4,2,0,0
6329,0,0,0,0,22,325.75,0,0.031818,0,0,1,1,4,3,4,2,0,0
